Question;A1;A2;A3;A4
Que feriez-vous si un ami  est dans le besoin ?;Je lui offre mon aide immédiatement.CG;Je l'évite pour ne pas avoir à l'aider.-G;Je n'aggrave pas sa situation.G;Je réfléchis au meilleur moyen de l'aider, quitte à perdre du temps.IG
Qu'appréciez-vous chez les gens ?;Ils sont prêts à m'aider.A;Je peux me servir d'eux.AI;La relation amicale propre à une coopération quotidienne entre eux et moi qui nous permet d'aller de l'avant.GIG;Apprendre d'eux.IG
En fonction de quoi choisissez-vous vos amis ?;Le physique.-I;La bonté.G;L'intelligence.I;L'efficacité.A
Comment faites-vous vos devoirs ?;Je ne les fais pas.C;Le plus tôt possible.IC;Pour préparer l'avenir.A;Je partage les réponses.G
Qu’aimeriez-vous faire à Poudlard ?;Étudier.I;Me faire des amis.G;Me faire des ennemis.C;Me battre.C
Tu aimes l’aventure ?;Non.;Plutôt non.;Plutôt oui.C;Oui.CC
Que feriez-vous si une personne était poursuivie par un chien à trois tête ?;J’aide le chien : une créature magique c’est l’éclate.I;Je m’interpose pour sauver mon ami.C;Je fuis et disparais pour qu’on ne te reproche pas ma passivité.A;J’ encourage mon ami à distance.G
Vous vous retrouver dans une maison pleine de détraqueurs.;Je sors d’ici immédiatement : je suis trop jeune pour mourir.I;Je fonce tête baissée dans la maison, il y a de l’aventure dans l’air.C-I;Je tente de faire apparaître un patronus pour explorer sereinement et voir si je peux aider d’éventuelles personnes.GI;J’encourage les personnes avec moi à s’avancer en premier afin de garantir ma sécurité.-G-CA
Quel est l’animal de compagnie de vos rêves ?;Une chouette.G;Un guépare.-I;Un serpent.C;Je ne désire pas d’animal.
Quelle est ton activité préférée ?;Apprendre.I;Me perfectionner.A;Dormir.-A;Lire.
